,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location,temperature,apparent_temperature,humidity,weather_code,precipitation,snowfall,wind_speed,wind_direction,soil_temperature,soil_moisture,sunrise,sunset,day_or_night_code
10,10,10,10,MCP2995007D,210001992,Montgomery County Police,Injury Crash,01/16/2021 03:57:00 PM,Maryland (State),GEORGIA AVE,LAYHILL RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,030F6778-2284-4B87-A47B-4066EEA8A585,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,CFDD1A14-D1BE-40D9-9C4B-0855A5786ECF,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35,No,No,2005,MINI,COOPER,39.05926167,-77.05041333,"(39.05926167, -77.05041333)",6.109499931335449,1.3950095176696777,45.71220779418945,3.0,0.0,0.0,13.450708389282227,285.524169921875,5.509500026702881,0.4650000035762787,07:24:00,17:11:00,1
11,11,11,11,MCP2160001V,200002000,Montgomery County Police,Injury Crash,01/12/2020 03:25:00 PM,Maryland (State),WOODFIELD RD,LINDBERGH DR,,,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,AB1BAB9D-7853-42B6-AC07-7763761276E1,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,B15A9966-A40C-4B35-9D0A-9512355ED4C7,DISABLING,TWELVE OCLOCK,MOTORCYCLE,MOVING CONSTANT SPEED,South,45,No,No,2015,HARLEY DAVIDSON,MC,39.16436167,-77.15736667,"(39.16436167, -77.15736667)",14.659000396728516,11.069290161132812,53.66875457763672,0.0,0.0,0.0,16.793140411376953,300.96368408203125,14.309000015258789,0.48399999737739563,07:27:00,17:06:00,1
12,12,12,12,DD5610008H,230064198,Rockville Police Departme,Injury Crash,11/03/2023 02:53:00 PM,Maryland (State),VEIRS MILL RD,ATLANTIC AVE,,ROCKVILLE,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,EF2320FB-9D8D-4103-B7CA-578EEF30C032,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,BF69EB1C-A672-41B9-96E5-818218AA399B,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,20,No,No,2000,TOYT,4S,39.07507983,-77.11558417,"(39.07507983, -77.11558417)",13.837000846862793,9.892006874084473,35.423336029052734,0.0,0.0,0.0,11.252518653869629,172.64772033691406,12.687000274658203,0.34599998593330383,06:38:00,17:06:00,1
13,13,13,13,MCP2954007C,190044963,Montgomery County Police,Property Damage Crash,09/19/2019 06:06:00 PM,Maryland (State),PINEY BRANCH RD,NO NAME,,,,SAME DIRECTION SIDESWIPE,CLEAR,,DAYLIGHT,STOP SIGN,NONE DETECTED,,06FD71FD-03AB-43EF-983B-CF69C3CC99E6,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,EC3EDDC5-E2B3-44A8-8905-8393F2697C25,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35,No,No,2008,GMC,ARCADIA,39.00126333,-76.98600667,"(39.00126333, -76.98600667)",18.502500534057617,15.67329216003418,33.430702209472656,0.0,0.0,0.0,7.208993911743164,92.86235046386719,23.752500534057617,0.28200000524520874,05:52:00,18:10:00,0
14,14,14,14,MCP3254002B,220036226,Montgomery County Police,Property Damage Crash,08/22/2022 12:40:00 PM,Maryland (State),GREAT SENECA HWY,WISTERIA DR,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,67EE94EF-09F5-47DA-A681-284E7F530FF2,Yes,NO APPARENT INJURY,,INATTENTIVE OR LOST IN THOUGHT,MD,BA6DD43D-3640-4097-BE7E-16915F338D5F,DESTROYED,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,South,35,No,No,2015,TOYOTA,RAV4,39.17094,-77.26286,"(39.17094, -77.26286)",25.46500015258789,29.741817474365234,78.32376861572266,2.0,0.0,0.0,5.241678714752197,195.94546508789062,25.46500015258789,0.48100000619888306,05:28:00,18:54:00,0
15,15,15,15,MCP29140016,15019399,Montgomery County Police,Property Damage Crash,04/24/2015 08:05:00 PM,Maryland (State),NEW HAMPSHIRE AVE,CHALMERS RD,,,,OTHER,CLEAR,,DARK LIGHTS ON,TRAFFIC SIGNAL,,,7B615C73-808F-46E9-9E70-187C495C77E1,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,DDC34CF0-3758-4419-BEEC-EDF750284D66,SUPERFICIAL,SIX OCLOCK,PICKUP TRUCK,STOPPED IN TRAFFIC LANE,North,40,No,No,2015,GMC,TRUCK,39.046635,-76.98782,"(39.046635, -76.98782)",8.618499755859375,4.659271240234375,46.10192108154297,1.0,0.0,0.0,10.29625129699707,306.4693298339844,10.068499565124512,0.4390000104904175,05:18:00,18:53:00,0
16,16,16,16,MCP2244003M,210021245,Montgomery County Police,Property Damage Crash,06/03/2021 11:01:00 AM,,,,"PARKING LOT OF 100 EDISON PARK DRIVE GAITHERSBURG, MD 20878",,,UNKNOWN,CLEAR,,DAYLIGHT,,UNKNOWN,,0C606076-0A67-41F5-835D-CF3DF073F429,Yes,NO APPARENT INJURY,,UNKNOWN,,012A5DE5-258C-4F2D-9AC4-3C596E970D13,UNKNOWN,UNKNOWN,,UNKNOWN,Unknown,0,No,No,0,UNKNOWN,UNKNOWN,39.11383698,-77.23645376,"(39.11383698, -77.23645376)",25.036998748779297,26.820350646972656,67.6511001586914,3.0,0.0,0.0,9.726663589477539,218.99099731445312,21.586999893188477,0.3799999952316284,04:44:00,19:30:00,0
17,17,17,17,MCP2937005J,240031149,MONTGOMERY,Property Damage Crash,07/01/2024 11:45:00 PM,Maryland (State) Route,NEW HAMPSHIRE AVE (SB/L),DILSTON RD,,,,Front to Front,Clear,Dry,Dark - Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,BFCCA73F-2ED7-48CC-8D1A-DC06A1426F6C,Yes,No Apparent Injury,Improper Turn,Not Distracted,MD,628F6417-CA87-4F46-AC1C-1EB144C70A67,Functional,Eleven O Clock,Passenger Car,Turning Right,Eastbound,35,No,No,2022,CHEVROLET,EQUINOX,39.01144533,-76.97916033,"(39.01144533, -76.97916033)",18.337499618530273,17.611303329467773,63.279850006103516,0.0,0.0,0.0,7.594207286834717,354.55975341796875,21.537500381469727,0.3610000014305115,04:46:00,19:37:00,0
18,18,18,18,MCP2866007F,210045449,Montgomery County Police,Injury Crash,11/09/2021 06:20:00 PM,Maryland (State),BRADLEY BLVD,ARLINGTON RD,,,,ANGLE MEETS LEFT TURN,CLEAR,DRY,DARK NO LIGHTS,TRAFFIC SIGNAL,NONE DETECTED,,9EAFCDDA-EF71-44FB-BE47-023608C7C55A,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,F4CAC809-D81D-4D7A-B051-A4EEA4C7712D,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,25,No,No,2018,GMC,YUKON,38.97814323,-77.09854998,"(38.97814323, -77.09854998)",14.845999717712402,12.968965530395508,61.428279876708984,0.0,0.0,0.0,8.427383422851562,199.9832000732422,13.996000289916992,0.4020000100135803,06:44:00,16:59:00,1
19,19,19,19,MCP25980016,17005124,Montgomery County Police,Property Damage Crash,01/29/2017 08:38:00 PM,Maryland (State),GEORGIA AVE,FOREST GLEN RD,,,,HEAD ON LEFT TURN,CLEAR,,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,71D2CD80-9A3C-4E2F-BAB7-2EC9D4E6DA5F,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,99C9C71A-2A40-4AE0-92D4-ECCCED172F14,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35,No,No,2012,TOYOTA,CAMRY,39.01564333,-77.04257333,"(39.01564333, -77.04257333)",0.8834999799728394,-2.576820135116577,74.34149932861328,51.0,0.10000000149011612,0.0,6.130578994750977,356.63360595703125,4.083499908447266,0.460999995470047,07:16:00,17:26:00,0
20,20,20,20,DM8479000H,200016218,Takoma Park Police Depart,Property Damage Crash,04/16/2020 05:30:00 PM,,,,PARKING LOT,,,OTHER,CLEAR,,DAYLIGHT,,UNKNOWN,,0C5A5846-BAF2-4D7D-A70F-E92D821017C2,Yes,NO APPARENT INJURY,,UNKNOWN,,38F07F52-37C5-4432-A488-43467595478E,UNKNOWN,SEVEN OCLOCK,PASSENGER CAR,BACKING,East,5,No,No,2012,TOYOTA,CORROLA,38.98667439,-76.98763756,"(38.98667439, -76.98763756)",8.241499900817871,2.5690665245056152,33.240440368652344,0.0,0.0,0.0,18.39173698425293,310.23626708984375,11.041500091552734,0.4480000138282776,05:28:00,18:46:00,0
21,21,21,21,MCP1020005P,200049494,Montgomery County Police,Property Damage Crash,12/16/2020 11:04:00 AM,Maryland (State),WOODFIELD RD,WOODFIELD SCHOOL RD,,,,STRAIGHT MOVEMENT ANGLE,SNOW,WET,DAYLIGHT,STOP SIGN,NONE DETECTED,,FBEFA96A-D427-488A-BF2B-E67A4D2B70F9,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,1A83D70C-E95D-4475-A393-744E9C2FDB78,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,30,No,No,2009,CHEV,IMPALA,39.24891833,-77.19287167,"(39.24891833, -77.19287167)",-0.9889999628067017,-5.894246578216553,69.37423706054688,73.0,0.4000000059604645,0.2800000011920929,13.896186828613281,53.426876068115234,0.9610000252723694,0.47600001096725464,07:22:00,16:47:00,0
22,22,22,22,MCP2846005Q,190053306,Montgomery County Police,Property Damage Crash,11/05/2019 03:45:00 PM,Maryland (State),UNIVERSITY BLVD W,REEDIE DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,26A5E6DA-34C4-43C7-A276-9F23AD45E256,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,7829CAF7-327A-45F7-B903-D0D4085B7BF4,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,CHANGING LANES,East,35,No,No,1999,HONDA,CRV,39.03994665,-77.04297494,"(39.03994665, -77.04297494)",15.204999923706055,13.820215225219727,57.647762298583984,0.0,0.0,0.0,4.072935104370117,315.0000915527344,13.055000305175781,0.42500001192092896,06:40:00,17:03:00,1
23,23,23,23,EJ7878001J,200023318,Gaithersburg Police Depar,Property Damage Crash,06/14/2020 05:42:00 AM,Municipality,STORY DR,SCHOOL DR,,GAITHERSBURG,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,,5D73CB25-DCF9-4E07-B60A-77710FD5A8D3,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,896160C2-FE42-4D02-82D1-BBFBDB35060E,DISABLING,ONE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,25,No,No,1998,TOYT,4S,39.11860834,-77.21246633,"(39.11860834, -77.21246633)",14.89799976348877,12.121463775634766,52.808128356933594,2.0,0.0,0.0,11.200571060180664,44.99989700317383,18.398000717163086,0.3179999887943268,04:42:00,19:36:00,0
24,24,24,24,MCP27990084,240058901,MONTGOMERY,Injury Crash,12/09/2024 05:20:00 PM,Maryland (State) Route,BURLINGTON AVE,,,,,Front to Front,Clear,Wet,Dark - Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,61586282-D31A-4D51-8140-168934440BAF,No,Suspected Minor Injury,,Not Distracted,DC,86442DC7-22F5-4946-8024-FC93D5DB63F7,Functional,Eleven O Clock,Passenger Car,Moving Constant Speed,Eastbound,30,No,No,2018,TOYOTA,CAMRY,38.98741817,-77.02571283,"(38.98741817, -77.02571283)",10.729000091552734,9.160541534423828,88.6401596069336,0.0,0.0,0.0,8.836514472961426,183.5034637451172,8.629000663757324,0.29499998688697815,07:15:00,16:45:00,1
25,25,25,25,DM8457001P,190030718,Takoma Park Police Depart,Property Damage Crash,06/23/2019 04:10:00 PM,Municipality,MERWOOD DR,NEW HAMPSHIRE AVE,,,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,A2419A11-825A-40F1-9507-1E621583EDA2,Yes,NO APPARENT INJURY,"BACKUP DUE TO REGULAR CONGESTION, N/A",LOOKED BUT DID NOT SEE,MD,ED251D7C-EC38-427B-B420-53FBC730A4C9,SUPERFICIAL,ELEVEN OCLOCK,PASSENGER CAR,CHANGING LANES,North,35,No,No,1995,TOYOTA,COROLLA,38.98336745,-76.98830339,"(38.98336745, -76.98830339)",29.91950035095215,28.793777465820312,27.775360107421875,2.0,0.0,0.0,11.11345100402832,204.9047393798828,31.1195011138916,0.29899999499320984,04:42:00,19:37:00,1
26,26,26,26,MCP2900003K,210011738,Montgomery County Police,Injury Crash,03/29/2021 03:50:00 PM,County,LAKE SHORE DR,MONTGOMERY VILLAGE AVE,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,,,,79F15960-E01F-4A6A-8DED-52DD630CFBD4,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,8A91C142-149D-4E83-8FB2-7D26CE44A7A8,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,35,No,No,2016,FORD,FIESTA,39.18847357,-77.19769502,"(39.18847357, -77.19769502)",13.271499633789062,8.97134780883789,33.979957580566406,0.0,0.0,0.0,12.682018280029297,304.59234619140625,14.371500015258789,0.47200000286102295,05:57:00,18:29:00,1
27,27,27,27,MCP1389002M,190058902,Montgomery County Police,Injury Crash,12/06/2019 07:05:00 PM,,,,PARKING LOT / SIDEWALK IN FRONT OF 451 NORTH FREDERICK AVENUE,,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,,DARK LIGHTS ON,,NONE DETECTED,NONE DETECTED,ED22EAF8-7C20-4E44-BBD2-AEC3B69C12C8,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,ADD43074-E4DD-4AF6-96D0-6ABBA3469D61,SUPERFICIAL,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,ACCELERATING,West,15,No,No,2007,MERCEDES,ML350,39.14816833,-77.20596,"(39.14816833, -77.20596)",8.505000114440918,4.758423805236816,62.527645111083984,3.0,0.0,0.0,13.089353561401367,301.50421142578125,7.9549994468688965,0.43700000643730164,07:13:00,16:46:00,1
28,28,28,28,MCP33470031,250034358,MONTGOMERY,Property Damage Crash,08/02/2025 12:23:00 AM,County Route,TOWNE RD,MONTROSE PKWY,,,,Angle,Clear,Dry,Dark - Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,33001D5E-524E-405A-AC06-1047D5709622,Yes,No Apparent Injury,Ran Red Light,Unknown,MD,8C3EDDF8-E4F5-44D1-8B38-E14FE9E2A927,Disabling,Twelve O Clock,Passenger Car,Moving Constant Speed,Southbound,35,No,No,2009,LEXUS,ES,39.05182144,-77.11860102,"(39.05182144, -77.11860102)",19.16349983215332,21.097753524780273,89.88749694824219,0.0,0.0,0.0,5.091168403625488,8.130019187927246,21.16349983215332,0.44200000166893005,05:10:00,19:19:00,0
29,29,29,29,MCP3039002S,180040442,Montgomery County Police,Property Damage Crash,08/14/2018 05:30:00 PM,Interstate (State),CAPITAL BELTWAY,MD 355 SB/L,,,,SAME DIR REAR END,CLEAR,WET,DAYLIGHT,,NONE DETECTED,,B62F3210-B231-425A-A066-90BD6088DB1F,Yes,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,51001D21-E790-4159-B09B-8DCDC849D7B6,SUPERFICIAL,TWELVE OCLOCK,PICKUP TRUCK,SLOWING OR STOPPING,East,55,No,No,1998,FORD,F150,39.01874833,-77.10627167,"(39.01874833, -77.10627167)",24.44099998474121,26.615833282470703,74.16739654541016,3.0,0.0,0.0,10.00903606414795,322.3056945800781,25.541000366210938,0.47200000286102295,05:21:00,19:05:00,0
30,30,30,30,MCP2789004S,180029096,Montgomery County Police,Property Damage Crash,06/12/2018 09:15:00 PM,Maryland (State),GEORGIA AVE,EVANS DR,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,,,A66673CD-A5C4-4507-B8BD-0B05A6C330C7,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,A8B05BD7-0EF5-4AEE-A53A-5EAF21C9F509,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35,No,No,2015,FORD,4S,39.02748333,-77.04695333,"(39.02748333, -77.04695333)",19.447999954223633,20.113588333129883,84.1322250366211,3.0,0.0,0.0,11.54247760772705,176.42373657226562,19.79800033569336,0.4699999988079071,04:41:00,19:34:00,0
31,31,31,31,MCP2679002V,190045654,Montgomery County Police,Property Damage Crash,09/23/2019 10:00:00 PM,Maryland (State),PINEY BRANCH RD,ARLISS ST,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,ALCOHOL CONTRIBUTED,,09BB3C69-11FF-4692-8644-5372131760E7,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,DC,693EC91C-2EB1-46ED-86FE-0FF1A18A94CE,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,30,No,No,2007,CHEVROLET,TRAILBALZER,38.99838167,-77.00153333,"(38.99838167, -77.00153333)",24.62849998474121,25.899118423461914,69.50129699707031,51.0,0.10000000149011612,0.0,13.378250122070312,293.8059387207031,26.478498458862305,0.29499998688697815,05:56:00,18:04:00,0
32,32,32,32,MCP2786003D,210020669,Montgomery County Police,Injury Crash,06/01/2021 01:38:00 AM,Maryland (State),GEORGIA AVE,HIGHLAND DR,,,,SAME DIRECTION SIDESWIPE,,DRY,DARK LIGHTS ON,,ALCOHOL PRESENT,,E11655A3-FDB3-4326-B7ED-B0562386FEC6,Yes,POSSIBLE INJURY,,UNKNOWN,MD,6B532593-94F6-4250-A967-897AFE04ED7E,DESTROYED,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35,No,No,2020,MERCEDES,C43,39.00431667,-77.036965,"(39.00431667, -77.036965)",12.564000129699707,11.838785171508789,86.45940399169922,3.0,0.0,0.0,5.804825305938721,240.2552032470703,13.363999366760254,0.41200000047683716,04:44:00,19:27:00,1
