Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location,Vehicle Cutted in 5 years intervals
MCP28570027,180027497,Montgomery County Police,Injury Crash,06/04/2018 05:35:00 PM,Maryland (State),KEY WEST AVE,DIAMONDBACK DR,,,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,1D9A77D8-2C32-434D-98FE-DCED2DB301B4,Yes,NO APPARENT INJURY,,DISTRACTED BY OUTSIDE PERSON OBJECT OR EVENT,NC,05764428-E15C-495E-BF95-CC550F4E99FC,NO DAMAGE,TWO OCLOCK,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",MOVING CONSTANT SPEED,West,50,No,No,2017,DODGE,RAM 2500,39.10558333,-77.20004667,"(39.10558333, -77.20004667)",2015
MCP3068005H,240025500,MONTGOMERY,Property Damage Crash,05/29/2024 06:15:00 PM,Maryland (State) Route,WILSON LA,ARLINGTON RD OLD GEORGETOWN RD ST ELMO AVE,,,,"Sideswipe, Same Direction",Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,83CF57F6-B9C2-45FE-B6F7-024404753090,No,No Apparent Injury,,Not Distracted,MD,A4D196BF-2595-43ED-A370-B8EAA032D88B,Superficial,Two O Clock,Sport Utility Vehicle,Moving Constant Speed,,35,No,,2021,VOLKSWAGEN,ATLAS,38.98747552,-77.09877488,"(38.98747552, -77.09877488)",2020
MCP1334007V,190021734,Montgomery County Police,Injury Crash,05/08/2019 03:30:00 PM,Maryland (State),FREDERICK RD,S WESTLAND DR,,GAITHERSBURG,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,136D953F-59DD-4741-8AE0-72CE6E993A33,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,306043B0-C0E8-4284-A136-2B8AD5E6A131,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,STARTING FROM LANE,North,35,No,No,2008,HONDA,ACCORD,39.12602439,-77.18294421,"(39.12602439, -77.18294421)",2005
MCP32770015,210028818,Montgomery County Police,Injury Crash,07/25/2021 03:34:00 PM,Maryland (State),MONTGOMERY VILLAGE AVE,RUSSELL AVE,,GAITHERSBURG,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,66110029-5624-47D0-9E7E-F6521A52FE0F,Yes,NO APPARENT INJURY,,UNKNOWN,MD,B43235BD-B6DE-4513-BA0D-A5B21B89EA06,DISABLING,FOUR OCLOCK,PICKUP TRUCK,MAKING LEFT TURN,South,35,No,No,2011,CHEV,TK,39.15421441,-77.209534,"(39.15421441, -77.209534)",2010
MCP23390026,17006988,Montgomery County Police,Property Damage Crash,02/08/2017 08:38:00 PM,Maryland (State),OLNEY LAYTONSVILLE RD,SPUR FR MD 97,,,,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,ALCOHOL CONTRIBUTED,,B0D58135-07FC-476B-8F2C-7BFC744C82B8,Yes,NO APPARENT INJURY,,UNKNOWN,MD,05FCDC72-40E3-46AC-828C-AF2551193F73,DISABLING,THREE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,30,No,No,2008,FORD,CROWN VICTORIA,39.15209833,-77.06711167,"(39.15209833, -77.06711167)",2005
MCP9130001S,15060954,MONTGOMERY,Property Damage Crash,11/29/2015 01:20:00 PM,Interstate (State),CAPITAL BELTWAY,COLESVILLE RD,,,,SAME DIRECTION SIDESWIPE,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,2060E903-FBD3-49CD-B70E-E96596DF0312,Yes,NO APPARENT INJURY,"N/A, WET",UNKNOWN,MD,E5BCE12A-50E2-4B28-81C4-19BB242D16EE,DISABLING,NINE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,55,No,No,2005,HONDA,ACCORD,39.01601,-77.01703333,"(39.01601, -77.01703333)",2005
MCP2009001F,200037404,Montgomery County Police,Property Damage Crash,09/23/2020 04:29:00 PM,Other Public Roadway,MONTROSE PKWY,E JEFFERSON ST,,,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,80AADCC8-4718-4EF3-9BB3-2C8EA4FCF6C6,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FA1A50D8-DC2C-4E59-9B75-9C55DD762E46,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35,No,No,2007,TOYOTA,CAMRY,39.05086819,-77.12623799,"(39.05086819, -77.12623799)",2005
MCP23390043,190003633,Montgomery County Police,Property Damage Crash,01/23/2019 08:16:00 PM,Maryland (State),ROCKVILLE PIKE,ROLLINS AVE,,ROCKVILLE,,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DARK LIGHTS ON,,NONE DETECTED,,A733429D-4339-471C-BAE4-26852FD9D732,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,976ABEF0-44EF-425F-A284-92AEC5EBB056,SUPERFICIAL,FIVE OCLOCK,VAN,MAKING RIGHT TURN,South,40,No,No,2017,CHEVEROLET,EXPRESS G250,39.05790333,-77.12141333,"(39.05790333, -77.12141333)",2015
MCP10790007,190058767,Montgomery County Police,Property Damage Crash,12/06/2019 04:40:00 AM,Maryland (State),WOODFIELD RD,SPUR FR MD 115,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,3305BCA8-9014-4A17-B05C-F4A6DEEDDDF1,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,BA3A9FC6-4B77-41EA-9EC8-FFA6692CA4BD,SUPERFICIAL,SIX OCLOCK,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,North,45,No,No,1997,FORD,EXPLORER,39.15922942,-77.16004939,"(39.15922942, -77.16004939)",1995
MCP32640037,220043194,Montgomery County Police,Injury Crash,10/04/2022 06:30:00 AM,Maryland (State),COLESVILLE RD,GEORGIA AVE,,,BICYCLIST,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DAWN,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,C4417A59-48A6-464E-888E-F35203DB40B4,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,BF912451-1631-480F-A0F8-A086DA3FD197,SUPERFICIAL,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35,No,No,2006,PONTIAC,GRAND PRIX,38.99462333,-77.0359,"(38.99462333, -77.0359)",2005
MCP2750004X,200020894,Montgomery County Police,Injury Crash,05/26/2020 02:40:00 PM,County,RANDOLPH RD,SPRING TREE DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,D20DE35A-DC8D-4643-B111-1F3C5F8A6FBD,No,NO APPARENT INJURY,,NOT DISTRACTED,DC,A96F093D-3E54-4DC7-871D-CAA589AEC8C0,FUNCTIONAL,SIX OCLOCK,PICKUP TRUCK,MAKING RIGHT TURN,West,40,No,No,2008,GMC,SIERRA,39.06610667,-77.02593833,"(39.06610667, -77.02593833)",2005
MCP93900013,180041136,Montgomery County Police,Property Damage Crash,08/18/2018 03:40:00 PM,Maryland (State),GREAT SENECA HWY,SPUR TO SAM EIG HWY,,,,SINGLE VEHICLE,,DRY,DAYLIGHT,,NONE DETECTED,,BC433B79-8D9F-4155-90E7-A0A176CF2B8F,Yes,NO APPARENT INJURY,,UNKNOWN,MD,DE3F3DF4-C1EC-4440-8541-36F66EECF4E0,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,50,No,No,2011,FORD,TAURUS,39.10746833,-77.20964833,"(39.10746833, -77.20964833)",2010
MCP2639001T,17007984,Montgomery County Police,Property Damage Crash,02/14/2017 02:12:00 AM,Maryland (State),GEORGIA AVE,LAYHILL RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,73918942-A0D2-49E4-9C1F-78E83298FDCB,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,0919044F-2B10-4E64-A2FC-95DAE42627CE,DISABLING,TEN OCLOCK,PASSENGER CAR,STARTING FROM LANE,West,35,No,No,2016,HONDA,CRV,39.06067,-77.05117667,"(39.06067, -77.05117667)",2015
MCP9428000R,15033144,MONTGOMERY,Property Damage Crash,07/07/2015 08:34:00 AM,Municipality,BALTIMORE RD,S STONESTREET AVE,,ROCKVILLE,,OTHER,,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,2E70D1E5-37B0-4E4D-A532-72F3DB2956F2,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,7A2B1AFD-66C7-49DC-A5A0-EFDEDEBBC028,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,25,No,No,2010,MINI,COOPER,39.17809833,-77.15086333,"(39.17809833, -77.15086333)",2010
MCP30040035,190034376,Montgomery County Police,Injury Crash,07/19/2019 06:00:00 PM,Maryland (State),CONNECTICUT AVE,LELAND ST,,CHEVY CHASE #5,,OTHER,CLEAR,,DAYLIGHT,,NONE DETECTED,,AD3629C4-C181-42F7-8E33-02FF20D9F903,Yes,SUSPECTED MINOR INJURY,,LOOKED BUT DID NOT SEE,GA,BB93AC76-F33E-4EE4-8810-6ECBAC0C727D,FUNCTIONAL,THREE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,35,No,No,2013,MERCEDES,C250,38.9856,-77.07682,"(38.9856, -77.07682)",2010
MCP2810001Z,220048710,Montgomery County Police,Property Damage Crash,11/04/2022 08:40:00 PM,County,CHRISTOPHER AVE,HELLINGLY PL,,,,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,6B73D702-0ADD-498C-B473-15DFC60946D2,Yes,NO APPARENT INJURY,,UNKNOWN,DC,0A1302D0-DC67-493A-AA51-B14290E7752B,FUNCTIONAL,FIVE OCLOCK,PICKUP TRUCK,MAKING LEFT TURN,South,30,No,No,2013,FORD,150,39.15897467,-77.2064535,"(39.15897467, -77.2064535)",2010
MCP1334003G,16009245,Montgomery County Police,Property Damage Crash,02/24/2016 01:29:00 PM,Maryland (State),FREDERICK RD,DALAMAR ST,,GAITHERSBURG,,SAME DIRECTION SIDESWIPE,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,011E9180-E84A-4163-8CF8-A6AC02A2C108,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,121F78B0-FDD4-41BF-B8C4-135BF458EA9D,FUNCTIONAL,ONE OCLOCK,OTHER,MOVING CONSTANT SPEED,South,30,No,No,2011,TOYOTA,SIENNA,39.14664924,-77.2048679,"(39.14664924, -77.2048679)",2010
MCP29500019,17005883,Montgomery County Police,Property Damage Crash,02/03/2017 01:22:00 AM,Maryland (State),GERMANTOWN RD,AIRCRAFT DR,,,,ANGLE MEETS LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,C669E649-FEA5-446C-9B72-0AD723F7044B,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,BC926212-7E41-4EA5-9084-15C332A1964F,SUPERFICIAL,EIGHT OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,40,No,No,2012,HYUNDAI,SONATA,39.18209167,-77.26011,"(39.18209167, -77.26011)",2010
MCP2891008K,190051102,Montgomery County Police,Property Damage Crash,10/24/2019 12:39:00 PM,County,SECOND AVE,LINDEN LA,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,7E9721DF-5A79-41F7-A59C-5C0B9C4329DA,Yes,NO APPARENT INJURY,"N/A, ROAD UNDER CONSTRUCTION/MAINTENANCE",LOOKED BUT DID NOT SEE,MD,91DF0250-3D04-41FF-A46B-CA98E942D393,DISABLING,TWELVE OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,South,35,No,No,2004,NISSAN,FRONTIER,39.00919167,-77.04393,"(39.00919167, -77.04393)",2000
DM83390012,180000685,Takoma Park Police Depart,Property Damage Crash,01/05/2018 09:24:00 AM,Maryland (State),CARROLL AVE,WASHINGTON ADVENTIST HOSPITAL,,,,OPPOSITE DIR BOTH LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,7A9B77E8-3630-4A08-8C01-D5A26C2D9E19,Yes,NO APPARENT INJURY,,UNKNOWN,MD,D0B152A6-F77D-45B2-A4DE-CCCEEEACF682,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,East,10,No,No,2017,CHEV,VOLT,38.984235,-76.99970667,"(38.984235, -76.99970667)",2015
MCP13050031,190015918,Montgomery County Police,Property Damage Crash,04/05/2019 04:00:00 PM,County,SNOUFFERS SCHOOL RD,LEWISBERRY DR,,,,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,74EDBE56-2EF1-42E2-8314-4F9CFB83A801,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,601D17B7-4115-4A9D-9AC1-01CA1309D5E0,SUPERFICIAL,SIX OCLOCK,STATION WAGON,STOPPED IN TRAFFIC LANE,East,35,No,No,2011,SUBARU,FORESTER,39.18298099,-77.18227602,"(39.18298099, -77.18227602)",2010
MCP29820034,190053916,Montgomery County Police,Property Damage Crash,11/08/2019 06:26:00 PM,US (State),COLESVILLE RD,GREYROCK DR,,,,STRAIGHT MOVEMENT ANGLE,,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,6010CBBE-168D-4B0D-A66F-D8504520F1C2,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,4DA57A01-D422-4D30-96AF-4CB1C73F923D,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35,No,No,2015,FORD,FOCUS,39.00681833,-77.02127333,"(39.00681833, -77.02127333)",2015
MCP9386006Q,190021664,Montgomery County Police,Property Damage Crash,05/08/2019 09:00:00 AM,Maryland (State),WISCONSIN AVE,DE RUSSEY PKWY,,,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,F8E7E543-CF5E-4DA2-B922-E8D9E2EC0690,Yes,NO APPARENT INJURY,,UNKNOWN,MD,FB90FEC3-35E3-4279-9A81-F7466568F6AD,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,25,No,No,2017,HONDA,ACCORD,38.97215667,-77.08983667,"(38.97215667, -77.08983667)",2015
MCP31530016,190027230,Montgomery County Police,Injury Crash,06/07/2019 12:46:00 PM,Maryland (State),VEIRS MILL RD,VALLEYWOOD DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,76C6367A-10D6-4536-8C6D-EBF3D5ECE7C2,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,9422171A-6CAC-48BB-92EB-4FA91AD8BAF6,DISABLING,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,40,No,No,2005,TOYT,TK,39.04979167,-77.071365,"(39.04979167, -77.071365)",2005
EJ78700036,200051500,Gaithersburg Police Depar,Injury Crash,12/31/2020 04:19:00 PM,Maryland (State),FREDERICK RD,MARYLAND AVE,,GAITHERSBURG,,HEAD ON LEFT TURN,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,69170376-88C3-4FB1-AD88-838ECE9C693F,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,6A40AB66-6C42-40C0-B705-E8AE32F00DBE,SUPERFICIAL,FOUR OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,30,No,No,2017,NISSAN,4S,39.14451433,-77.20231141,"(39.14451433, -77.20231141)",2015
MCP2513004F,240045686,MONTGOMERY,Injury Crash,09/25/2024 07:48:00 AM,US (State),,DALE DR,,,,Rear To Rear,Rain,Wet,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,F24BCE86-1E73-4ECC-9809-6A7837E60145,Yes,No Apparent Injury,,"Other Action (looking away from task, etc.)",MD,E3561F3A-624C-4C1A-BD04-E01EBA5610BF,Functional,Twelve O Clock,Pickup,Slowing or Stopping,,30,No,No,2016,CHEVROLET,SILVERADO,39.0053287,-77.02281863,"(39.0053287, -77.02281863)",2015
MCP3149000P,180059385,Montgomery County Police,Property Damage Crash,11/28/2018 01:56:00 AM,Maryland (State),GEORGIA AVE,DENNIS AVE,,,,SAME DIRECTION LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,61606448-C2EB-41CA-A11F-7E2986761D0C,Yes,NO APPARENT INJURY,,UNKNOWN,DC,2EA09AE5-1F27-4A8C-B9D5-F2316CD827EB,SUPERFICIAL,TEN OCLOCK,PASSENGER CAR,CHANGING LANES,North,45,No,No,2011,TOYOTA,PRIUS,39.02515943,-77.04597705,"(39.02515943, -77.04597705)",2010
DD5582000T,16004485,Rockville Police Departme,Property Damage Crash,01/27/2016 10:48:00 PM,Maryland (State),E JEFFERSON ST,MONROE ST,,ROCKVILLE,,OTHER,CLOUDY,OTHER,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,90D5AD0D-D7A3-4E8C-8290-695FB796A976,Yes,NO APPARENT INJURY,"ICY OR SNOW-COVERED, N/A",NOT DISTRACTED,MD,BB8ED3EA-28BE-480A-AAF0-9F1493B79404,SUPERFICIAL,FIVE OCLOCK,TRANSIT BUS,MAKING LEFT TURN,East,30,No,No,2005,ORIO,BU,39.08206833,-77.14952167,"(39.08206833, -77.14952167)",2005
MCP3182001D,210035358,Montgomery County Police,Injury Crash,09/08/2021 08:45:00 PM,County,GREENCASTLE RD,COLUMBIA PIKE,,,,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,066931DC-CF40-45B8-AFE0-7A5B1EC5FA6C,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,52C43BE1-5047-4BFD-AF24-EA9D555F027D,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35,No,No,2011,TOYOTA,TACOMA,39.09567,-76.93806167,"(39.09567, -76.93806167)",2010
EJ7833007C,220044627,Gaithersburg Police Depar,Property Damage Crash,10/12/2022 12:24:00 PM,Municipality,W DEER PARK RD,BRIGHTON DR,,GAITHERSBURG,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,12202A2F-04EF-4AC3-A0B8-2E984B359FB0,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,A9913706-2800-4DD1-9015-0F407B01846C,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,25,No,No,2016,ACURA,MDX,39.12797245,-77.19514017,"(39.12797245, -77.19514017)",2015
MCP3193002Z,210051470,Montgomery County Police,Property Damage Crash,12/17/2021 08:55:00 PM,County,BLUERIDGE AVE,GEORGIA AVE,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,10B6E6A2-A3C8-4B7C-B2EF-80745B109A34,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,777C4203-AE52-419F-B2C9-1DC35918062D,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,25,No,No,2013,KIA,TK,39.04311567,-77.05175767,"(39.04311567, -77.05175767)",2010
